CustomerID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Total_Purchases
1,56,Female,142418,7,28,1767
2,69,Male,63088,82,33,9929
3,46,Male,136868,91,48,4214
4,32,Female,123196,34,41,3653
5,60,Male,59811,91,13,7861
6,25,Male,134825,17,43,1100
7,38,Female,75479,43,45,9142
8,56,Male,105392,59,25,1488
9,36,Male,107369,51,42,5550
10,40,Male,137520,54,36,3812
11,28,Female,39963,24,27,1467
12,28,Female,75123,25,38,8289
13,41,Female,145911,71,7,9113
14,53,Male,122468,52,5,554
15,57,Male,112705,70,43,9916
16,41,Female,93477,88,45,2872
17,20,Male,34388,33,31,3826
18,39,Male,25569,49,23,7332
19,19,Female,89836,29,42,4906
20,41,Female,124573,63,10,2290
21,61,Male,56586,22,32,9208
22,47,Male,147018,26,43,2975
23,55,Male,32015,28,30,5692
24,19,Female,65002,85,39,1540
25,38,Female,136594,49,31,9027
26,50,Female,26254,71,18,6159
27,29,Female,37144,81,36,7110
28,39,Male,44214,84,2,7217
29,61,Female,125654,49,14,9253
30,42,Female,100719,20,13,3089
31,66,Female,91774,86,29,9318
32,44,Female,26090,92,12,6328
33,59,Female,31637,63,39,6571
34,45,Male,42415,61,2,2963
35,33,Male,44071,49,32,1277
36,32,Female,78243,71,13,4860
37,64,Male,130951,1,46,111
38,68,Female,145827,96,27,5352
39,61,Female,128215,13,49,4499
40,69,Male,61240,94,41,8334
41,20,Male,146146,87,17,9235
42,54,Female,103807,51,40,5545
43,68,Female,121570,56,31,6670
44,24,Female,53434,83,34,9296
45,38,Male,89724,62,24,8312
46,26,Female,135359,32,45,506
47,56,Female,95697,30,35,9306
48,35,Female,48732,29,48,4531
49,21,Male,141465,49,6,5343
50,42,Female,31314,45,19,6642
51,31,Female,43954,93,30,7036
52,67,Male,77108,30,7,9006
53,26,Female,107044,16,10,4246
54,43,Female,107505,40,41,240
55,19,Male,131195,19,32,4982
56,37,Female,123081,18,34,6112
57,45,Male,56668,1,28,1063
58,64,Male,43061,78,15,7251
59,24,Female,99252,47,30,8664
60,61,Female,59749,66,37,3710
61,25,Female,149668,92,29,9984
62,64,Female,124680,94,22,6994
63,52,Male,36907,38,4,7411
64,31,Female,38777,51,20,205
65,34,Male,113229,63,32,5639
66,53,Female,71745,4,36,9973
67,67,Female,128464,1,4,6887
68,57,Female,148077,8,27,2237
69,21,Male,111865,29,17,4545
70,19,Female,132428,55,12,3630
71,23,Female,101818,3,22,1386
72,59,Female,43624,32,17,7152
73,21,Female,43321,10,10,3754
74,46,Male,30488,74,1,7202
75,35,Female,42574,83,22,2459
76,43,Male,25240,34,26,8205
77,61,Male,63221,97,18,8736
78,51,Male,30478,87,14,6541
79,27,Male,148055,55,47,5147
80,53,Male,75645,92,29,8327
81,31,Male,130698,32,12,5303
82,48,Female,39262,50,36,9767
83,65,Male,138831,7,35,1898
84,32,Male,72796,93,12,9700
85,25,Male,24432,8,7,5391
86,31,Female,115257,65,29,5595
87,40,Female,84291,57,11,6384
88,57,Male,99104,67,33,7385
89,38,Female,79399,88,6,1400
90,33,Male,147600,87,47,6969
91,62,Male,99714,59,15,9535
92,35,Female,70428,72,32,3197
93,64,Male,107731,54,11,4716
94,41,Female,145646,67,23,109
95,43,Female,20302,51,26,5852
96,42,Male,102558,97,34,9952
97,62,Male,20055,92,46,6395
98,58,Female,131317,8,34,4915
99,46,Male,28717,34,29,1172
100,32,Male,147449,35,4,3325
101,62,Male,48699,96,17,1416
102,18,Female,93686,88,35,5799
103,42,Female,87661,78,13,6907
104,24,Male,64247,32,41,6774
105,26,Female,134049,46,39,3783
106,41,Female,36748,16,15,7327
107,18,Female,125113,68,29,3373
108,61,Female,24621,37,29,7100
109,25,Female,35034,54,11,245
110,41,Male,131927,85,32,5110
111,28,Male,147858,14,2,3140
112,68,Male,25126,95,47,9754
113,34,Female,25122,55,14,9876
114,25,Female,38030,48,20,582
115,52,Male,102838,82,22,3279
116,52,Female,104717,7,11,1349
117,50,Male,75658,74,27,730
118,22,Male,58638,7,3,8953
119,59,Male,87067,33,17,2952
120,56,Female,126476,23,44,1087
121,58,Female,138033,85,28,7722
122,45,Male,125977,19,29,7427
123,24,Male,108869,19,21,9838
124,26,Male,125186,36,47,8941
125,25,Male,54674,29,16,9260
126,29,Female,55854,60,37,1200
127,51,Female,66271,82,20,6752
128,50,Male,93688,2,6,8732
129,65,Male,58518,1,19,7521
130,40,Female,131076,47,5,5116
131,41,Female,30267,69,3,869
132,54,Male,110825,20,1,1443
133,52,Male,21062,11,38,4458
134,61,Male,136664,2,15,9869
135,57,Female,70448,67,34,6880
136,39,Female,115462,87,35,6702
137,44,Female,26229,12,49,2449
138,52,Male,76793,20,25,5799
139,18,Male,134813,5,24,1341
140,52,Female,67915,37,12,1225
141,54,Female,24632,38,18,9482
142,64,Male,124592,94,15,6864
143,31,Female,23596,9,44,5201
144,20,Female,129779,98,16,7943
145,18,Male,26168,53,27,172
146,22,Female,128099,44,8,5572
147,43,Male,27561,99,46,5289
148,31,Male,93794,86,25,2572
149,56,Male,102152,24,17,807
150,44,Male,145036,81,29,1904
151,26,Male,144049,74,8,6804
152,32,Male,46734,30,15,3813
153,32,Male,26371,59,27,5151
154,43,Female,138894,87,46,2575
155,59,Male,46069,96,7,3710
156,30,Male,99905,81,3,4355
157,68,Female,32910,81,29,7497
