App,Category,Rating,Reviews,Size_MB,Installs,Type,Price,Content_Rating,Genres,Sentiment
App_1,Finance,2.0,63746,51.7,"1,000,000+",Free,0.0,Mature 17+,Art & Design,Positive
App_2,Communication,2.1,265898,80.8,"100,000+",Free,0.0,Everyone,Photography,Negative
App_3,Shopping,1.8,482338,46.5,"100,000+",Free,0.0,Mature 17+,Photography,Positive
App_4,Tools,4.5,805275,6.1,"50,000+",Free,0.0,Mature 17+,Food & Drink,Neutral
App_5,Photography,4.0,834900,78.8,"100,000+",Free,0.0,Teen,Comics,Negative
App_6,Food & Drink,1.2,745485,,"50,000+",Free,0.0,Everyone,Social,Neutral
App_7,Shopping,2.1,729632,26.6,"5,000,000+",Free,0.0,Teen,Music,Neutral
App_8,Education,1.1,924045,17.3,"10,000+",Free,0.0,Everyone,Entertainment,Positive
App_9,Finance,3.0,119835,33.7,"1,000,000+",Paid,3.79,Mature 17+,Finance,Positive
App_10,Music,,155783,75.9,"500,000+",Free,0.0,Mature 17+,Music,Negative
App_11,Comics,4.3,906423,52.4,"10,000+",Free,0.0,Everyone,Art & Design,Negative
App_12,Finance,2.2,632359,21.3,"1,000,000+",Free,0.0,Everyone,Social,Negative
App_13,Photography,4.3,536537,87.9,"50,000+",Paid,8.96,Teen,Entertainment,Neutral
App_14,Photography,4.9,362346,88.1,"1,000,000+",Paid,7.96,Everyone,Finance,Positive
App_15,Food & Drink,1.4,321433,87.2,"5,000,000+",Free,0.0,Everyone,Entertainment,Positive
App_16,Education,4.2,763364,24.6,"50,000+",Free,0.0,Everyone,Communication,Positive
App_17,Communication,3.4,939279,45.7,"10,000+",Free,0.0,Teen,Art & Design,Negative
App_18,Food & Drink,2.9,857563,98.5,"1,000+",Free,0.0,Everyone,Photography,Positive
App_19,Food & Drink,2.7,567056,77.4,"1,000+",Free,0.0,Mature 17+,Health & Fitness,Positive
App_20,Comics,4.1,406989,3.7,"10,000,000+",Free,0.0,Teen,Communication,Positive
App_21,Entertainment,3.6,994270,7.5,"10,000,000+",Free,0.0,Teen,Finance,Negative
App_22,Education,4.2,612592,46.9,"1,000,000+",Free,0.0,Mature 17+,Finance,Positive
App_23,Business,4.6,211930,91.0,"1,000+",Paid,7.61,Mature 17+,Business,Negative
App_24,Food & Drink,3.5,196601,54.3,"50,000+",Free,0.0,Mature 17+,Art & Design,Positive
App_25,Productivity,4.9,416985,50.3,"100,000+",Free,0.0,Everyone,Food & Drink,Positive
App_26,Social,3.4,165240,11.4,"50,000+",Free,0.0,Mature 17+,Food & Drink,Positive
App_27,Entertainment,3.5,744249,66.0,"100,000+",Free,0.0,Everyone,Finance,Negative
App_28,Business,3.2,140607,82.4,"10,000+",Free,0.0,Teen,Social,Negative
App_29,Productivity,1.4,225260,38.7,"500,000+",Free,0.0,Teen,Tools,Positive
App_30,Education,3.9,183421,77.8,"100,000+",Paid,8.17,Mature 17+,Tools,Neutral
App_31,Art & Design,3.2,561772,96.5,"1,000+",Free,0.0,Everyone,Tools,Negative
App_32,Productivity,2.8,522098,21.2,"50,000+",Free,0.0,Mature 17+,Tools,Negative
App_33,Music,4.6,606317,52.8,"10,000+",Free,0.0,Mature 17+,Food & Drink,Positive
