Date,Category,Gender,Age,Quantity,Price_per_Unit,Sales
2023-04-13,Clothing,Male,31,3,271,813
2024-03-11,Food,Female,48,1,428,428
2023-12-15,Clothing,Male,35,6,415,2490
2023-09-28,Clothing,Female,24,2,436,872
2023-04-17,Clothing,Female,27,3,152,456
2023-03-13,Electronics,Male,24,1,351,351
2023-07-08,Electronics,Male,50,9,325,2925
2023-01-21,Electronics,Male,40,8,110,880
2023-04-13,Food,Female,38,2,253,506
2023-05-02,Sports,Male,36,8,499,3992
2024-04-11,Clothing,Female,36,9,21,189
2023-08-03,Clothing,Male,53,1,248,248
2023-11-27,Food,Female,46,5,58,290
2024-04-03,Clothing,Female,35,8,51,408
2023-03-29,Electronics,Male,19,2,175,350
2024-01-08,Sports,Female,18,4,91,364
2023-04-10,Beauty,Female,64,7,438,3066
2023-12-26,Clothing,Male,22,3,300,900
2023-06-01,Electronics,Female,37,5,167,835
2023-05-11,Beauty,Male,28,8,225,1800
2023-05-30,Sports,Female,59,3,499,1497
2023-11-05,Beauty,Male,19,4,167,668
2023-09-15,Electronics,Male,20,9,471,4239
2023-12-10,Beauty,Female,40,7,143,1001
2024-05-06,Food,Female,29,1,76,76
2024-02-18,Beauty,Female,37,4,345,1380
2023-10-21,Clothing,Female,22,4,16,64
2024-01-21,Clothing,Female,54,9,445,4005
2023-07-11,Food,Male,55,6,23,138
2024-03-19,Electronics,Female,47,9,82,738
2023-10-04,Clothing,Male,26,6,408,2448
2023-06-10,Sports,Male,51,6,414,2484
2024-04-04,Clothing,Female,61,5,172,860
2023-11-10,Clothing,Male,52,5,75,375
2023-01-22,Electronics,Male,39,2,356,712
2023-09-10,Beauty,Male,61,8,139,1112
2023-08-24,Clothing,Male,41,8,428,3424
2023-12-11,Food,Female,34,1,475,475
2023-02-18,Beauty,Male,27,8,215,1720
2024-04-19,Sports,Female,47,5,285,1425
2023-02-28,Electronics,Female,63,2,475,950
2023-06-19,Sports,Male,40,2,265,530
2024-04-20,Beauty,Female,49,6,275,1650
2023-07-07,Beauty,Female,34,9,34,306
2024-04-08,Beauty,Female,34,1,459,459
2023-09-28,Sports,Male,31,6,290,1740
2023-07-09,Beauty,Female,26,9,262,2358
2024-03-21,Sports,Female,57,8,319,2552
2023-06-24,Beauty,Female,19,6,298,1788
2024-03-21,Food,Male,62,3,173,519
2023-02-20,Beauty,Female,42,8,104,832
2023-12-30,Sports,Male,56,9,279,2511
2023-02-24,Clothing,Male,26,1,330,330
2023-09-01,Beauty,Male,39,9,119,1071
2023-11-16,Clothing,Male,60,6,345,2070
2023-05-11,Food,Male,63,6,319,1914
2024-04-29,Electronics,Male,21,4,247,988
2023-11-03,Food,Female,43,1,390,390
2023-05-15,Beauty,Male,46,8,445,3560
2023-01-21,Clothing,Female,62,2,396,792
2023-11-25,Clothing,Female,51,1,492,492
2023-06-16,Sports,Male,40,2,434,868
2023-10-01,Clothing,Female,54,1,399,399
2024-01-23,Sports,Female,28,1,34,34
2023-03-30,Electronics,Female,23,9,150,1350
2023-11-12,Beauty,Female,35,1,126,126
2023-01-14,Sports,Male,38,4,491,1964
2023-08-30,Electronics,Female,59,6,401,2406
2023-09-22,Clothing,Male,53,7,414,2898
2023-12-12,Clothing,Female,58,2,491,982
2023-02-22,Electronics,Female,55,6,461,2766
2024-01-21,Clothing,Male,51,7,34,238
2023-12-06,Electronics,Female,34,2,88,176
2023-04-02,Sports,Female,54,2,77,154
2024-01-02,Sports,Female,42,7,182,1274
2024-03-19,Electronics,Male,55,1,453,453
2024-03-30,Sports,Female,29,8,21,168
2024-03-03,Sports,Male,40,3,297,891
2023-09-21,Sports,Female,59,6,137,822
2024-03-06,Food,Male,39,9,105,945
2023-02-04,Beauty,Male,38,6,101,606
2023-07-25,Clothing,Female,44,9,150,1350
2023-03-22,Food,Female,48,7,40,280
2024-02-24,Sports,Male,23,9,343,3087
2023-02-19,Electronics,Male,44,2,29,58
2023-12-26,Sports,Female,57,8,155,1240
2024-01-23,Beauty,Male,51,8,486,3888
2023-01-02,Sports,Female,29,2,325,650
2024-01-25,Electronics,Female,62,4,456,1824
2023-02-23,Beauty,Female,24,7,399,2793
2023-04-16,Sports,Female,27,4,169,676
2023-09-17,Beauty,Male,62,4,358,1432
2023-11-06,Clothing,Female,34,6,52,312
2024-04-21,Clothing,Male,43,6,263,1578
2023-07-10,Sports,Female,38,3,139,417
2024-02-06,Beauty,Male,45,9,69,621
2023-08-06,Electronics,Female,63,2,160,320
2023-02-13,Sports,Male,19,6,476,2856
2023-06-11,Clothing,Male,60,7,296,2072
2023-07-21,Clothing,Female,18,9,14,126
2024-03-21,Sports,Female,53,3,476,1428
2024-04-28,Beauty,Female,43,3,427,1281
2023-09-27,Clothing,Female,46,7,275,1925
2023-12-17,Beauty,Male,38,4,354,1416
2023-10-31,Clothing,Female,28,8,139,1112
2023-09-28,Clothing,Male,57,7,391,2737
2024-03-31,Food,Male,28,5,276,1380
2024-04-06,Clothing,Female,53,7,187,1309
2023-08-03,Electronics,Male,56,3,262,786
2023-09-09,Sports,Male,57,2,424,848
2023-07-09,Sports,Male,52,6,65,390
2023-10-23,Beauty,Male,51,2,472,944
2023-08-01,Clothing,Female,64,3,466,1398
2023-07-27,Electronics,Female,41,6,480,2880
2023-08-25,Beauty,Female,39,5,92,460
2023-12-04,Food,Female,22,8,402,3216
2024-01-02,Beauty,Male,50,9,108,972
2023-02-22,Beauty,Male,53,3,158,474
2023-10-07,Clothing,Female,64,3,338,1014
2024-02-14,Food,Female,37,3,165,495
2023-08-05,Beauty,Female,36,6,199,1194
2023-09-09,Electronics,Male,52,1,380,380
2023-07-07,Electronics,Female,60,7,272,1904
2024-01-15,Sports,Female,34,1,89,89
2024-05-07,Food,Female,62,5,409,2045
2023-02-10,Food,Male,60,8,261,2088
2023-06-06,Sports,Male,51,4,106,424
2023-01-15,Beauty,Male,26,5,269,1345
2023-10-28,Food,Male,43,4,269,1076
2023-03-06,Electronics,Male,19,4,112,448
2023-12-11,Electronics,Male,26,8,49,392
2023-11-23,Clothing,Male,26,2,282,564
2023-01-09,Food,Male,57,1,110,110
2023-12-10,Beauty,Female,34,3,368,1104
2023-05-09,Sports,Female,18,9,389,3501
2024-05-06,Sports,Male,42,4,317,1268
2023-05-16,Beauty,Male,60,5,230,1150
2024-04-16,Clothing,Female,57,2,317,634
2023-03-04,Sports,Male,59,4,429,1716
2023-05-19,Food,Male,42,2,133,266
2024-05-13,Clothing,Male,56,2,431,862
2023-03-22,Food,Female,52,4,240,960
2024-01-27,Electronics,Female,20,6,187,1122
2023-06-12,Clothing,Female,54,7,72,504
2024-02-23,Sports,Female,61,3,494,1482
2023-10-16,Clothing,Female,61,3,125,375
2024-01-14,Clothing,Male,47,6,200,1200
2023-09-18,Clothing,Female,55,3,71,213
2024-05-04,Clothing,Male,51,2,265,530
2023-08-19,Food,Male,29,8,492,3936
2023-02-10,Electronics,Female,36,5,16,80
2023-01-28,Beauty,Female,54,1,164,164
2023-05-15,Clothing,Male,61,3,101,303
2023-07-20,Sports,Male,34,8,479,3832
2023-11-24,Clothing,Male,27,4,23,92
2023-09-25,Sports,Female,64,7,464,3248
2024-02-22,Food,Female,29,2,238,476
2023-02-02,Sports,Female,33,7,95,665
2023-02-17,Beauty,Female,41,5,142,710
2024-02-11,Electronics,Female,36,5,192,960
2023-03-03,Sports,Male,25,6,395,2370
2023-08-04,Sports,Female,48,9,71,639
2023-10-20,Electronics,Male,38,6,228,1368
2023-04-09,Beauty,Male,34,8,414,3312
2023-06-21,Clothing,Male,40,7,255,1785
2023-12-26,Sports,Female,54,9,239,2151
2023-08-02,Electronics,Female,33,4,88,352
2024-04-19,Food,Female,23,2,158,316
2023-02-04,Electronics,Male,25,7,147,1029
2024-03-24,Food,Male,42,6,480,2880
2023-08-15,Beauty,Male,35,1,323,323
2023-04-11,Clothing,Male,42,9,385,3465
2024-03-06,Electronics,Male,29,9,432,3888
2024-04-06,Sports,Male,32,2,398,796
2023-05-11,Beauty,Female,43,3,74,222
2023-09-14,Electronics,Female,58,5,22,110
2023-01-05,Sports,Female,62,5,222,1110
2023-08-06,Electronics,Female,43,1,483,483
2023-09-12,Food,Male,64,8,251,2008
2024-02-02,Electronics,Male,49,8,222,1776
2023-12-25,Electronics,Female,27,4,190,760
2023-10-10,Electronics,Male,33,7,347,2429
2024-01-28,Beauty,Female,24,3,494,1482
2023-07-26,Electronics,Female,34,6,182,1092
2023-01-15,Sports,Female,40,9,169,1521
2023-12-12,Food,Male,43,1,173,173
2023-02-11,Food,Female,38,5,474,2370
2024-01-15,Electronics,Female,39,4,492,1968
2024-04-05,Beauty,Female,24,8,197,1576
2023-06-28,Beauty,Male,31,1,404,404
2023-03-04,Sports,Male,32,9,200,1800
2023-12-18,Electronics,Female,24,6,414,2484
2023-08-19,Food,Male,26,4,317,1268
2023-08-29,Beauty,Male,25,9,265,2385
2023-02-21,Electronics,Male,40,5,192,960
2023-04-06,Beauty,Male,46,5,126,630
2024-01-23,Beauty,Male,35,5,291,1455
2023-08-10,Food,Male,48,1,205,205
2024-04-29,Clothing,Male,47,1,43,43
2024-02-11,Sports,Male,56,8,61,488
2023-08-19,Sports,Male,52,8,121,968
2023-08-25,Food,Male,35,6,261,1566
2023-05-23,Beauty,Female,59,4,91,364
2023-06-20,Electronics,Female,56,2,241,482
2023-01-29,Beauty,Male,34,2,236,472
2023-02-05,Food,Female,31,9,242,2178
2023-01-13,Sports,Female,48,5,230,1150
2023-06-09,Beauty,Male,41,4,445,1780
2023-11-23,Sports,Male,52,1,422,422
2023-07-06,Electronics,Male,61,7,431,3017
2023-08-31,Sports,Female,62,3,51,153
2023-03-27,Sports,Female,51,6,30,180
2023-10-11,Clothing,Male,20,5,51,255
2023-03-07,Clothing,Male,54,5,406,2030
2023-06-19,Clothing,Male,60,5,122,610
2023-02-14,Sports,Female,57,1,114,114
2023-03-03,Food,Female,43,1,201,201
2024-03-16,Sports,Female,40,3,26,78
2023-05-14,Food,Female,61,4,129,516
2023-10-11,Food,Male,56,5,402,2010
2023-01-28,Clothing,Male,32,2,434,868
2023-04-18,Beauty,Male,21,8,138,1104
2023-02-13,Electronics,Male,46,2,139,278
2023-12-06,Clothing,Female,39,9,69,621
2023-10-13,Clothing,Female,42,2,57,114
2024-03-21,Beauty,Male,30,9,38,342
2023-11-27,Electronics,Male,35,7,106,742
2023-05-08,Sports,Female,50,8,19,152
2023-12-14,Sports,Male,33,2,251,502
2024-04-17,Clothing,Female,62,7,323,2261
2023-08-19,Electronics,Male,59,6,453,2718
2023-07-09,Clothing,Male,61,4,241,964
2023-08-13,Food,Male,19,7,286,2002
2024-01-20,Clothing,Male,52,4,293,1172
2024-01-12,Clothing,Male,59,2,212,424
2023-10-10,Sports,Male,51,7,256,1792
2024-03-21,Sports,Male,47,8,299,2392
2023-05-01,Sports,Female,30,2,273,546
2023-04-26,Food,Female,30,5,452,2260
2024-04-05,Sports,Female,35,1,223,223
2023-08-21,Electronics,Female,49,7,209,1463
2023-09-16,Beauty,Female,49,8,442,3536
2023-12-25,Electronics,Male,52,6,88,528
2023-07-17,Electronics,Male,56,5,410,2050
2024-03-31,Sports,Female,63,6,453,2718
2024-02-15,Beauty,Male,46,2,352,704
2023-05-17,Beauty,Female,46,1,353,353
2023-11-14,Beauty,Female,61,7,182,1274
2023-06-14,Food,Male,33,7,476,3332
2023-08-13,Sports,Male,61,2,78,156
2023-11-03,Beauty,Male,64,2,425,850
2023-08-22,Food,Female,27,1,437,437
2023-06-21,Clothing,Male,47,8,458,3664
2023-06-01,Clothing,Female,42,8,96,768
2024-04-07,Food,Female,56,1,110,110
2023-11-11,Food,Female,37,8,17,136
2024-01-09,Sports,Male,22,9,342,3078
2023-06-09,Sports,Male,18,4,209,836
2023-04-06,Clothing,Female,47,1,96,96
2024-04-16,Beauty,Male,20,1,52,52
2023-08-21,Clothing,Male,62,3,394,1182
2023-06-29,Beauty,Male,31,5,118,590
2023-04-23,Beauty,Female,47,5,444,2220
2023-11-14,Sports,Female,21,9,417,3753
2024-05-11,Electronics,Male,35,2,492,984
2024-03-17,Electronics,Female,54,2,161,322
2023-02-21,Food,Male,42,6,26,156
2023-09-25,Sports,Male,18,9,142,1278
2023-10-22,Beauty,Male,63,1,157,157
2024-01-21,Electronics,Male,32,9,286,2574
2024-01-22,Beauty,Female,26,9,241,2169
2023-04-23,Electronics,Female,32,9,323,2907
2023-04-11,Electronics,Female,41,5,424,2120
2023-04-23,Electronics,Male,21,9,375,3375
2024-03-15,Sports,Male,29,4,237,948
2023-03-22,Clothing,Male,54,2,148,296
2023-07-06,Beauty,Female,54,6,445,2670
2023-04-23,Sports,Male,60,4,408,1632
2023-01-02,Sports,Female,23,6,220,1320
2023-05-10,Sports,Female,56,3,400,1200
2023-08-08,Sports,Female,63,6,37,222
2023-02-23,Sports,Female,41,2,60,120
2023-12-09,Food,Female,28,2,451,902
2024-04-29,Beauty,Female,30,9,270,2430
2023-08-12,Sports,Male,51,7,270,1890
2023-08-13,Beauty,Male,42,3,359,1077
2024-01-20,Food,Female,24,1,361,361
2024-02-07,Food,Female,21,8,17,136
2023-05-06,Beauty,Male,25,6,329,1974
2023-05-10,Electronics,Female,37,7,147,1029
2023-02-22,Clothing,Female,46,9,47,423
2023-06-21,Electronics,Male,62,5,120,600
2023-08-06,Electronics,Female,63,1,489,489
2023-06-09,Electronics,Female,27,7,377,2639
2023-07-17,Sports,Female,60,5,229,1145
2024-02-20,Food,Male,51,3,346,1038
2023-09-04,Electronics,Male,43,9,232,2088
2023-11-20,Food,Male,58,1,145,145
2024-03-14,Beauty,Female,20,1,265,265
2023-07-22,Clothing,Female,23,1,369,369
2023-07-03,Beauty,Male,22,3,418,1254
2023-05-03,Beauty,Female,22,6,338,2028
2024-02-05,Sports,Female,64,3,459,1377
2023-09-12,Clothing,Female,40,8,472,3776
2023-10-21,Beauty,Female,26,2,443,886
2023-10-07,Beauty,Female,52,9,460,4140
2023-11-21,Clothing,Male,37,3,58,174
2024-01-07,Clothing,Female,59,5,301,1505
2023-04-08,Beauty,Male,52,8,391,3128
2023-07-17,Clothing,Female,35,2,333,666
2024-04-14,Beauty,Male,34,6,87,522
2024-01-30,Beauty,Female,41,5,114,570
2023-08-28,Sports,Male,20,9,178,1602
2023-05-24,Electronics,Female,49,5,226,1130
2023-04-07,Beauty,Male,52,2,387,774
2023-07-20,Food,Female,55,5,128,640
2023-05-04,Electronics,Male,30,4,199,796
2023-07-06,Electronics,Female,64,7,264,1848
2023-11-22,Electronics,Male,42,6,379,2274
2024-04-08,Sports,Male,26,2,275,550
2023-12-15,Beauty,Female,21,5,158,790
2023-09-16,Sports,Female,31,7,173,1211
2023-05-28,Beauty,Male,54,7,149,1043
2023-09-09,Sports,Female,51,5,356,1780
2024-03-18,Sports,Male,28,9,497,4473
2024-02-24,Food,Male,58,4,267,1068
2024-02-07,Sports,Male,20,3,383,1149
2023-12-12,Clothing,Female,45,4,278,1112
2024-03-26,Food,Male,46,5,190,950
2023-05-27,Sports,Male,26,6,169,1014
2023-05-28,Electronics,Female,20,3,360,1080
2023-12-18,Clothing,Female,42,2,409,818
2023-07-18,Clothing,Female,51,4,297,1188
2023-11-04,Clothing,Female,29,5,297,1485
2024-05-03,Food,Male,59,4,389,1556
2024-02-21,Sports,Male,26,3,235,705
2024-02-28,Sports,Male,32,8,20,160
2023-05-08,Electronics,Male,57,4,19,76
2023-02-08,Electronics,Female,42,2,280,560
2023-12-04,Clothing,Male,22,2,282,564
2023-12-26,Electronics,Male,28,1,433,433
2023-05-09,Food,Female,51,4,411,1644
2023-09-24,Sports,Male,41,9,192,1728
2024-04-20,Clothing,Male,32,7,466,3262
2024-03-16,Electronics,Male,55,7,162,1134
2024-04-17,Food,Male,25,7,497,3479
2024-03-09,Food,Male,22,8,324,2592
2023-05-31,Electronics,Male,43,1,343,343
2024-02-19,Sports,Female,35,8,133,1064
2024-04-22,Electronics,Female,23,4,482,1928
2023-10-25,Clothing,Male,54,4,123,492
2023-04-09,Electronics,Male,30,4,287,1148
2023-09-20,Food,Female,45,6,423,2538
2023-09-09,Electronics,Male,22,7,477,3339
2023-05-24,Sports,Male,30,6,222,1332
2023-12-12,Beauty,Male,34,1,181,181
2023-04-22,Electronics,Female,57,8,297,2376
2024-05-14,Sports,Male,62,7,444,3108
2023-03-01,Sports,Female,49,6,183,1098
2024-01-04,Food,Male,46,6,122,732
2023-01-02,Sports,Female,20,5,385,1925
2024-01-20,Sports,Female,57,6,414,2484
2023-10-31,Sports,Male,51,9,492,4428
2023-09-11,Sports,Female,57,9,131,1179
2023-05-20,Clothing,Male,44,8,41,328
2024-03-28,Clothing,Female,30,9,231,2079
2023-02-06,Food,Male,62,8,128,1024
2023-06-09,Electronics,Male,50,8,48,384
2023-01-09,Sports,Female,23,1,277,277
2023-08-21,Electronics,Male,41,5,242,1210
2023-04-09,Electronics,Male,36,4,440,1760
2023-05-27,Food,Female,33,2,27,54
2023-10-31,Sports,Male,57,8,158,1264
2023-07-27,Sports,Male,45,3,406,1218
2023-05-11,Beauty,Female,50,4,158,632
2024-02-08,Electronics,Female,58,7,135,945
2023-06-01,Electronics,Male,30,9,401,3609
2023-02-23,Clothing,Male,60,2,311,622
2023-04-30,Beauty,Female,62,3,369,1107
2023-06-10,Clothing,Female,42,4,247,988
2024-02-12,Clothing,Male,59,1,144,144
2023-04-26,Clothing,Female,53,7,160,1120
2023-03-16,Food,Male,44,2,245,490
2023-04-23,Food,Male,55,5,233,1165
2024-03-31,Clothing,Male,24,1,212,212
2024-02-24,Beauty,Male,22,3,265,795
2024-02-26,Electronics,Male,60,2,95,190
2023-04-14,Beauty,Female,62,1,159,159
2023-12-06,Sports,Female,48,7,244,1708
2023-09-11,Food,Female,40,5,354,1770
2023-08-15,Electronics,Female,59,1,31,31
2023-04-22,Electronics,Male,27,6,357,2142
2024-04-17,Sports,Male,49,5,294,1470
2023-04-09,Sports,Male,60,3,278,834
2023-06-02,Clothing,Male,47,7,475,3325
2023-12-15,Food,Female,56,9,267,2403
2024-02-06,Food,Male,48,9,38,342
2024-01-19,Beauty,Male,35,9,222,1998
2024-01-01,Clothing,Female,53,2,472,944
2023-12-04,Clothing,Female,19,3,445,1335
2023-07-13,Clothing,Female,31,7,292,2044
2023-11-06,Clothing,Female,30,5,59,295
2023-06-12,Food,Male,46,2,104,208
2023-07-27,Food,Male,29,3,472,1416
2024-03-20,Clothing,Female,56,6,416,2496
2023-06-18,Beauty,Male,19,7,97,679
2024-04-28,Electronics,Male,49,9,53,477
2023-06-10,Electronics,Male,30,1,470,470
2023-03-09,Beauty,Female,63,7,287,2009
2023-10-16,Clothing,Male,44,8,180,1440
2024-02-02,Food,Female,58,3,430,1290
2023-10-04,Electronics,Male,34,4,198,792
2023-10-31,Sports,Male,57,6,362,2172
2024-02-08,Sports,Male,48,7,193,1351
2024-01-19,Beauty,Female,51,4,12,48
2024-01-27,Clothing,Male,41,8,200,1600
2023-05-15,Electronics,Female,62,5,127,635
2023-07-14,Clothing,Female,52,1,28,28
2024-02-05,Electronics,Female,23,4,32,128
2023-05-08,Beauty,Male,36,3,422,1266
2023-02-02,Beauty,Male,47,9,39,351
2023-06-25,Sports,Male,24,8,304,2432
2024-04-04,Clothing,Male,27,1,117,117
2024-03-18,Sports,Female,58,6,376,2256
2024-01-06,Clothing,Female,49,9,290,2610
2024-04-14,Sports,Female,51,7,137,959
2024-01-10,Food,Male,45,4,238,952
2023-01-22,Food,Female,32,1,120,120
2023-08-26,Food,Male,47,2,145,290
2023-06-07,Food,Female,54,5,371,1855
2023-02-07,Electronics,Male,46,5,195,975
2023-08-18,Food,Male,39,8,153,1224
2023-12-31,Beauty,Female,21,6,81,486
2023-02-20,Beauty,Female,37,8,138,1104
2024-03-13,Electronics,Female,49,2,373,746
2023-09-21,Food,Female,53,3,270,810
2023-10-10,Food,Male,21,6,12,72
2023-01-27,Food,Female,44,3,458,1374
2023-08-14,Sports,Female,34,6,397,2382
2023-10-04,Clothing,Female,29,6,113,678
2023-10-13,Sports,Male,39,2,492,984
2023-04-07,Clothing,Male,34,7,233,1631
2023-10-11,Food,Female,27,2,329,658
2024-01-02,Food,Male,18,6,371,2226
2024-03-23,Sports,Female,39,1,363,363
2024-04-25,Sports,Male,43,3,482,1446
2024-03-28,Clothing,Male,35,2,19,38
2023-11-13,Beauty,Male,31,7,414,2898
2023-10-31,Clothing,Male,64,4,393,1572
2023-05-27,Sports,Female,46,8,311,2488
2023-01-04,Sports,Female,29,6,240,1440
2023-02-04,Electronics,Female,53,4,228,912
2023-07-11,Sports,Male,52,5,420,2100
2023-02-18,Electronics,Female,29,9,75,675
2023-01-17,Beauty,Female,24,7,434,3038
2023-06-21,Clothing,Female,46,9,121,1089
2023-08-08,Clothing,Male,28,7,22,154
2023-06-07,Electronics,Male,50,1,402,402
2024-04-21,Clothing,Male,23,8,429,3432
2023-02-15,Sports,Female,64,4,95,380
2024-01-08,Food,Female,32,3,243,729
2023-01-06,Electronics,Female,49,7,99,693
2023-04-09,Clothing,Male,28,3,323,969
2024-01-15,Electronics,Male,40,8,63,504
2023-08-21,Electronics,Female,43,6,21,126
2023-02-06,Food,Male,51,5,218,1090
2023-10-07,Sports,Male,63,4,471,1884
2023-12-15,Electronics,Male,51,8,23,184
2024-05-11,Clothing,Male,46,8,130,1040
2023-10-29,Beauty,Female,21,1,427,427
2023-06-30,Electronics,Male,34,9,446,4014
2023-04-05,Electronics,Male,52,5,386,1930
2023-04-09,Food,Male,30,4,29,116
2023-07-07,Sports,Male,58,6,84,504
2024-04-25,Beauty,Female,56,6,409,2454
2023-04-26,Clothing,Female,32,2,252,504
2023-07-10,Beauty,Male,46,8,232,1856
2023-09-10,Clothing,Male,46,7,79,553
2024-04-13,Sports,Male,28,1,321,321
2024-02-20,Clothing,Male,49,5,220,1100
2024-04-15,Food,Male,19,6,110,660
2023-06-10,Food,Male,64,4,195,780
2023-09-13,Food,Female,31,2,141,282
2023-11-19,Food,Male,37,4,120,480
2023-05-08,Beauty,Female,39,1,390,390
2023-01-18,Sports,Female,28,7,141,987
2023-10-08,Clothing,Male,44,2,29,58
2024-05-04,Clothing,Female,20,2,403,806
2023-08-11,Food,Female,34,9,33,297
2023-02-23,Food,Female,61,5,236,1180
2023-02-27,Electronics,Female,45,2,163,326
